ID,性別,世代,キャンペーン反応フラグ,購入金額_201304,購入金額_201404,キャンペーン前M,キャラクター商品M,生活用品M,文具M,娯楽商品M,本類M,おにぎりM,スイーツM,パンM,ファストフードM,飲料M,お惣菜M,お弁当M,キャンペーン前R,キャラクター商品R,生活用品R,文具R,娯楽商品R,本類R,おにぎりR,スイーツR,パンR,ファストフードR,飲料R,お惣菜R,お弁当R
532,女,10代以下,0,300,0,1040,540,0,0,0,0,300,300,440,0,0,0,0,56,56,NA,NA,NA,NA,225,330,56,NA,NA,NA,NA
534,女,40代,0,0,0,1580,390,0,110,0,0,750,0,200,0,390,0,0,22,22,NA,224,NA,NA,22,NA,114,NA,114,NA,NA
535,男,30代,0,0,0,1940,100,0,0,0,0,420,0,340,120,900,0,0,18,77,NA,NA,NA,NA,18,NA,151,146,18,NA,NA
536,男,70代以上,0,670,0,13320,720,0,0,0,3900,460,380,3470,300,2780,250,1090,19,19,NA,NA,NA,112,35,47,29,109,19,365,19
537,女,10代以下,0,530,120,1490,360,0,0,0,0,100,300,260,360,470,0,0,28,28,NA,NA,NA,NA,28,314,115,244,115,NA,NA
538,男,30代,0,3350,0,6050,530,0,120,3000,0,600,200,0,220,880,0,600,1,23,NA,199,330,NA,120,1,NA,30,23,NA,23
539,女,20代,1,0,400,3580,1090,0,0,0,0,310,0,2370,120,620,0,0,34,54,NA,NA,NA,NA,54,NA,34,242,90,NA,NA
540,男,70代以上,0,0,0,590,230,0,0,0,0,110,0,110,220,150,0,0,23,39,NA,NA,NA,NA,239,NA,39,106,23,NA,NA
541,男,60代,0,450,0,1280,250,0,0,0,0,230,200,120,100,630,0,0,28,179,NA,NA,NA,NA,181,333,179,28,181,NA,NA
542,女,10代以下,1,1520,0,3370,1160,0,0,0,0,780,300,1130,0,940,0,0,10,19,NA,NA,NA,NA,245,39,19,NA,10,NA,NA
543,女,10代以下,0,0,470,1490,330,0,0,0,400,0,480,330,0,120,0,0,63,279,NA,NA,NA,191,NA,146,279,NA,63,NA,NA
544,男,70代以上,0,0,0,780,0,0,0,0,0,0,120,560,100,0,0,0,15,NA,NA,NA,NA,NA,NA,15,42,150,NA,NA,NA
545,男,30代,0,0,0,400,0,0,0,0,0,0,0,200,0,200,0,0,98,NA,NA,NA,NA,NA,NA,NA,161,NA,98,NA,NA
546,女,60代,0,0,420,4400,380,0,0,0,360,360,540,2090,120,800,0,0,97,112,NA,NA,NA,97,112,169,112,131,142,NA,NA
547,男,60代,0,600,280,1540,0,0,0,0,0,120,300,0,0,540,0,580,41,NA,NA,NA,NA,NA,41,93,NA,NA,41,NA,46
548,女,30代,0,0,0,500,0,0,0,0,0,0,0,0,0,370,0,0,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,NA,NA
549,女,30代,0,0,1230,2930,130,0,0,0,0,210,0,270,0,1650,0,800,37,37,NA,NA,NA,NA,64,NA,37,NA,37,NA,193
550,女,30代,1,480,120,2420,400,0,0,0,0,100,0,680,120,640,0,600,15,55,NA,NA,NA,NA,55,NA,15,200,52,NA,52
551,男,40代,0,0,120,550,0,0,0,0,0,120,0,0,0,130,0,300,71,NA,NA,NA,NA,NA,71,NA,NA,NA,79,NA,79
552,男,20代,1,1100,0,5290,1320,0,0,0,0,1570,300,1510,100,1680,0,0,12,118,NA,NA,NA,NA,109,169,12,137,72,NA,NA
553,男,10代以下,1,0,0,1380,120,0,0,0,400,220,0,0,120,640,0,0,32,81,NA,NA,NA,32,58,NA,NA,81,58,NA,NA
554,女,40代,0,1020,0,1840,830,0,0,0,0,1190,0,200,0,450,0,0,214,214,NA,NA,NA,NA,214,NA,312,NA,214,NA,NA
555,男,70代以上,1,0,0,1900,350,0,0,0,0,450,0,350,0,1010,0,90,6,6,NA,NA,NA,NA,214,NA,6,NA,186,NA,186
556,女,30代,0,0,250,340,0,0,0,0,0,0,0,340,0,0,0,0,169,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA
557,男,20代,0,0,240,3190,590,0,0,0,200,570,0,490,200,780,750,0,1,1,NA,NA,NA,99,1,NA,24,116,50,289,NA
558,男,60代,0,0,0,740,600,0,0,0,0,600,0,140,0,0,0,0,8,8,NA,NA,NA,NA,8,NA,133,NA,NA,NA,NA
559,女,60代,0,0,0,1710,250,0,0,0,300,230,250,320,0,610,0,0,7,219,NA,NA,NA,346,34,23,7,NA,23,NA,NA
560,男,60代,0,0,0,560,0,0,0,0,0,0,0,260,0,300,0,0,58,NA,NA,NA,NA,NA,NA,NA,58,NA,127,NA,NA
561,女,20代,1,0,120,3030,150,0,0,0,0,1060,0,0,0,1410,0,400,86,264,NA,NA,NA,NA,150,NA,NA,NA,86,NA,299
562,男,30代,1,120,0,4890,450,1300,0,0,0,0,0,120,0,1320,0,1700,7,359,221,NA,NA,NA,NA,NA,311,NA,7,NA,11
563,男,60代,0,0,800,920,100,0,110,0,0,340,0,120,0,350,0,0,23,265,NA,147,NA,NA,23,NA,206,NA,206,NA,NA
564,女,70代以上,1,0,0,1550,0,0,0,0,0,0,120,0,0,510,0,500,82,NA,NA,NA,NA,NA,NA,99,NA,NA,82,NA,82
565,女,10代以下,0,0,0,1450,120,200,0,0,0,0,600,120,0,250,0,0,42,96,350,NA,NA,NA,NA,259,96,NA,42,NA,NA
566,男,30代,0,250,670,1630,130,0,220,0,0,0,120,130,0,780,250,0,21,124,NA,124,NA,NA,NA,60,124,NA,21,307,NA
567,女,70代以上,0,0,0,1870,340,0,0,0,0,210,0,120,120,1330,0,90,34,34,NA,NA,NA,NA,34,NA,179,41,133,NA,41
568,男,70代以上,0,0,100,2180,0,0,0,0,0,110,180,0,100,1390,0,400,39,NA,NA,NA,NA,NA,106,60,NA,117,39,NA,190
569,男,70代以上,0,710,450,13650,460,0,0,10000,300,350,0,800,0,1500,700,0,3,201,NA,NA,262,3,27,NA,73,NA,27,93,NA
570,男,40代,0,100,0,200,0,0,0,0,0,0,0,0,0,100,0,0,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,NA,NA
571,女,50代,1,450,1140,5450,850,0,0,0,0,590,960,1040,0,2310,250,300,28,28,NA,NA,NA,NA,74,197,28,NA,49,338,257
572,男,30代,0,320,420,4070,930,0,0,0,400,540,0,680,0,1470,0,700,46,48,NA,NA,NA,251,48,NA,52,NA,52,NA,158
573,男,30代,1,480,110,4100,500,0,0,0,200,740,730,440,240,1500,250,0,9,9,NA,NA,NA,352,59,236,9,193,63,352,NA
574,男,40代,1,570,2050,6980,1720,0,0,0,0,860,250,2240,0,2930,250,300,31,57,NA,NA,NA,NA,129,31,57,NA,31,223,31
575,男,50代,1,400,1500,3000,390,0,0,0,0,610,150,800,200,1240,0,0,95,95,NA,NA,NA,NA,95,154,213,169,154,NA,NA
576,男,60代,0,980,0,6750,420,0,0,0,200,700,0,920,0,4060,0,400,22,22,NA,NA,NA,186,139,NA,22,NA,22,NA,309
577,男,50代,0,110,130,2040,360,0,0,0,0,480,690,230,0,640,0,0,16,109,NA,NA,NA,NA,23,16,203,NA,23,NA,NA
578,女,30代,1,0,400,4460,500,0,0,0,500,740,1180,320,0,1340,0,0,1,1,NA,NA,NA,190,1,1,33,NA,5,NA,NA
579,男,20代,0,360,120,9930,130,2000,0,0,3600,250,0,140,300,1820,0,1500,73,247,73,NA,NA,179,247,NA,142,123,123,NA,142
580,男,60代,0,120,120,7350,1180,0,1500,0,0,240,1000,1600,580,1910,0,390,1,19,NA,158,NA,NA,162,265,19,16,1,NA,1
581,女,10代以下,0,0,240,110,110,0,0,0,0,0,0,110,0,0,0,0,230,230,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA
582,男,60代,0,0,380,5190,1420,0,0,0,0,1110,450,460,560,2360,250,0,2,2,NA,NA,NA,NA,53,242,53,18,2,2,NA
583,男,20代,0,0,110,1640,0,0,0,0,0,0,0,800,0,320,0,0,6,NA,NA,NA,NA,NA,NA,NA,24,NA,6,NA,NA
584,女,60代,1,400,0,4420,240,0,240,0,400,240,1520,380,360,550,0,600,9,9,NA,338,NA,333,65,25,9,82,20,NA,154
585,女,50代,0,0,330,4740,230,0,0,0,900,1070,350,280,0,1710,0,300,125,228,NA,NA,NA,125,144,225,295,NA,125,NA,286
586,男,40代,0,0,0,690,0,0,0,0,0,120,0,0,0,570,0,0,175,NA,NA,NA,NA,NA,294,NA,NA,NA,175,NA,NA
587,女,30代,0,0,630,3660,100,0,0,0,1000,220,250,740,320,990,0,0,25,55,NA,NA,NA,55,25,95,95,55,55,NA,NA
588,男,50代,0,0,0,750,100,0,0,0,0,340,0,0,0,410,0,0,22,22,NA,NA,NA,NA,22,NA,NA,NA,22,NA,NA
589,男,30代,0,0,320,4340,240,0,0,0,0,370,300,230,100,2110,500,600,17,63,NA,NA,NA,NA,99,38,63,63,32,17,156
590,男,40代,0,0,0,1720,360,0,0,0,0,0,0,360,0,1230,0,0,36,36,NA,NA,NA,NA,NA,NA,36,NA,89,NA,NA
591,女,40代,0,0,0,970,130,0,0,0,0,490,0,0,100,200,180,0,37,183,NA,NA,NA,NA,173,NA,NA,77,37,343,NA
593,女,30代,0,540,680,4950,120,0,0,0,0,600,970,940,220,1120,250,400,10,12,NA,NA,NA,NA,102,10,16,12,16,224,224
594,男,70代以上,1,720,2100,5780,1050,0,0,0,0,1670,200,860,0,2800,0,90,19,19,NA,NA,NA,NA,125,81,19,NA,124,NA,139
595,男,60代,0,0,520,1100,0,0,0,0,0,110,0,0,100,430,0,300,112,NA,NA,NA,NA,NA,119,NA,NA,112,119,NA,142
596,男,20代,0,200,200,4130,550,0,200,0,2000,200,0,630,0,850,250,0,21,21,NA,325,NA,130,48,NA,21,NA,48,219,NA
597,女,30代,1,0,0,2540,0,0,0,0,1500,360,480,200,0,0,0,0,70,NA,NA,NA,NA,282,70,149,172,NA,NA,NA,NA
598,男,70代以上,0,0,600,2690,390,0,0,0,860,260,200,470,320,580,0,0,9,40,NA,NA,NA,123,183,151,9,137,9,NA,NA
599,女,60代,0,0,440,4330,370,0,0,0,0,0,550,490,320,2070,200,700,20,20,NA,NA,NA,NA,NA,279,20,160,31,160,31
600,女,70代以上,0,0,550,4410,690,0,0,0,0,100,300,1010,360,2220,0,0,15,24,NA,NA,NA,NA,248,78,24,100,15,NA,NA
601,男,20代,0,0,1600,1910,0,0,0,0,0,220,300,320,240,740,0,90,27,NA,NA,NA,NA,NA,59,350,101,77,27,NA,27
602,男,50代,0,0,100,200,0,0,0,0,0,0,0,0,0,200,0,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
603,男,60代,0,760,0,4170,780,0,0,0,0,770,0,2530,0,550,0,0,15,47,NA,NA,NA,NA,47,NA,15,NA,139,NA,NA
604,女,70代以上,0,0,0,1290,0,0,0,0,0,0,200,240,100,250,0,500,13,NA,NA,NA,NA,NA,NA,254,13,149,240,NA,240
605,女,70代以上,0,230,540,4880,220,0,0,2500,500,430,150,120,0,1090,0,0,114,133,NA,NA,114,150,133,169,363,NA,133,NA,NA
606,男,50代,1,0,1980,3610,340,0,0,0,0,0,0,740,100,1780,0,600,74,157,NA,NA,NA,NA,NA,NA,157,159,74,NA,350
607,男,60代,0,0,0,11300,0,8000,0,0,0,0,0,1200,200,920,0,0,53,NA,290,NA,NA,NA,NA,NA,53,53,111,NA,NA
608,女,70代以上,0,0,0,1520,760,0,0,0,0,640,0,520,0,360,0,0,124,124,NA,NA,NA,NA,185,NA,124,NA,124,NA,NA
609,男,60代,0,0,0,1290,250,0,0,0,0,0,0,250,240,710,0,90,63,206,NA,NA,NA,NA,NA,NA,206,63,141,NA,254
610,男,10代以下,1,0,0,1430,120,0,0,0,0,0,0,1320,0,110,0,0,25,25,NA,NA,NA,NA,NA,NA,25,NA,289,NA,NA
611,男,10代以下,1,0,0,1350,560,0,0,0,180,220,0,440,120,100,0,0,16,16,NA,NA,NA,181,215,NA,16,138,141,NA,NA
612,女,30代,0,0,0,2330,240,0,0,0,500,0,0,240,320,270,500,500,97,295,NA,NA,NA,145,NA,NA,295,97,295,216,207
613,女,50代,0,0,150,230,0,0,0,0,0,120,0,0,0,110,0,0,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA
615,男,50代,0,530,400,2970,780,0,0,0,0,0,0,1520,0,1270,0,180,54,54,NA,NA,NA,NA,NA,NA,54,NA,71,NA,71
616,女,70代以上,1,1340,970,10340,1670,0,0,1000,0,1020,2140,1030,300,3500,0,600,12,43,NA,NA,82,NA,82,173,54,69,12,NA,60
617,女,70代以上,0,120,0,1630,110,0,0,0,0,240,0,910,0,480,0,0,31,37,NA,NA,NA,NA,235,NA,31,NA,39,NA,NA
618,女,10代以下,0,0,0,3350,2140,0,0,0,0,100,650,140,240,1930,0,0,33,33,NA,NA,NA,NA,87,205,65,33,65,NA,NA
619,男,20代,0,0,920,120,0,0,0,0,0,120,0,0,0,0,0,0,240,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA
620,女,30代,1,380,0,7690,390,0,0,0,600,870,2370,1160,100,1790,250,300,1,146,NA,NA,NA,186,146,131,177,131,1,202,6
621,女,70代以上,0,0,120,4140,0,2000,0,0,0,790,0,200,220,730,200,0,36,NA,246,NA,NA,NA,36,NA,62,112,36,107,NA
622,女,60代,0,250,420,7130,1950,0,0,0,0,1710,0,1150,800,1220,2250,0,100,107,NA,NA,NA,NA,100,NA,107,242,107,189,NA
623,女,10代以下,1,1000,0,4710,720,0,0,0,0,690,680,990,340,870,850,0,11,11,NA,NA,NA,NA,14,252,11,27,14,347,NA
624,男,10代以下,0,0,920,2030,360,0,0,0,0,240,0,0,480,680,200,300,9,9,NA,NA,NA,NA,53,NA,NA,9,31,271,100
625,女,50代,0,280,0,1190,130,0,0,0,0,0,0,410,0,330,0,0,247,247,NA,NA,NA,NA,NA,NA,247,NA,247,NA,NA
626,男,10代以下,0,0,0,200,0,0,0,0,0,0,0,200,0,0,0,0,261,NA,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA
627,女,60代,1,270,1150,2870,500,0,0,0,0,360,0,370,580,1100,0,300,8,51,NA,NA,NA,NA,232,NA,51,140,8,NA,140
628,男,30代,1,0,0,6300,1620,0,0,0,400,920,200,1920,0,2270,0,590,4,4,NA,NA,NA,202,12,175,4,NA,4,NA,110
629,男,60代,0,320,1160,3520,390,0,0,0,400,740,640,560,100,920,0,0,7,56,NA,NA,NA,136,56,288,278,108,7,NA,NA
630,女,10代以下,0,100,0,3690,250,0,0,0,800,240,900,510,0,570,0,670,3,55,NA,NA,NA,48,57,160,3,NA,122,NA,243
631,女,10代以下,1,140,200,7160,270,0,0,0,3600,1020,780,460,100,770,0,300,11,109,NA,NA,NA,149,11,77,70,109,109,NA,245
632,女,10代以下,1,0,230,2010,370,0,0,0,0,500,200,110,0,1040,0,0,14,158,NA,NA,NA,NA,14,289,158,NA,147,NA,NA
633,男,50代,0,0,0,330,330,0,0,0,0,0,0,330,0,0,0,0,245,245,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA
634,女,40代,0,0,0,2650,390,0,0,0,0,390,200,0,0,1140,0,800,9,122,NA,NA,NA,NA,122,102,NA,NA,102,NA,157
635,男,30代,1,1200,260,12450,2000,500,120,0,4500,1050,1020,2500,220,1020,0,1200,8,43,225,277,NA,8,63,89,8,117,8,NA,117
636,男,70代以上,1,160,210,4505,700,0,55,0,0,480,370,1090,0,1790,0,300,37,49,NA,53,NA,NA,46,117,37,NA,37,NA,180
637,女,10代以下,0,0,0,2945,640,0,55,0,2000,390,0,250,0,250,0,0,17,17,NA,17,NA,17,20,NA,17,NA,183,NA,NA
638,男,30代,0,0,0,2000,230,0,0,0,0,440,180,450,100,830,0,0,28,79,NA,NA,NA,NA,79,79,28,79,28,NA,NA
639,女,20代,0,330,770,4950,120,0,0,1000,0,460,0,200,120,2220,0,500,31,143,NA,NA,253,NA,31,NA,197,143,41,NA,109
640,男,70代以上,0,0,0,1940,110,0,0,0,0,0,730,910,0,0,0,300,6,6,NA,NA,NA,NA,NA,46,6,NA,NA,NA,67
641,男,60代,0,0,0,2110,110,0,0,0,300,0,200,110,120,690,0,690,34,156,NA,NA,NA,299,NA,156,156,71,34,NA,218
642,女,10代以下,1,0,570,2970,850,0,0,0,500,260,450,510,720,440,0,90,39,48,NA,NA,NA,39,48,45,89,85,155,NA,176
643,女,10代以下,1,0,0,830,300,0,0,0,0,300,0,0,0,150,250,0,2,2,NA,NA,NA,NA,2,NA,NA,NA,301,207,NA
644,男,70代以上,0,0,1200,860,0,0,0,0,0,0,400,0,100,110,250,0,25,NA,NA,NA,NA,NA,NA,58,NA,233,25,233,NA
646,女,60代,1,100,290,7590,260,800,100,0,200,490,150,990,0,3460,200,1200,4,108,4,311,NA,139,67,228,195,NA,4,4,67
647,男,60代,0,650,0,3190,650,0,0,0,0,240,0,650,100,1240,250,390,4,314,NA,NA,NA,NA,68,NA,314,348,4,301,163
648,女,30代,0,240,0,1020,430,0,0,0,0,530,150,0,0,340,0,0,19,48,NA,NA,NA,NA,19,206,NA,NA,19,NA,NA
649,女,30代,0,0,0,1170,580,0,0,0,0,0,150,720,0,300,0,0,17,17,NA,NA,NA,NA,NA,165,17,NA,59,NA,NA
650,女,30代,0,0,240,1420,470,0,100,0,0,0,120,110,360,300,430,0,19,19,NA,266,NA,NA,NA,26,19,65,211,26,NA
651,男,40代,0,0,0,900,0,0,0,0,0,200,200,0,0,340,0,0,128,NA,NA,NA,NA,NA,128,182,NA,NA,200,NA,NA
652,男,20代,0,1040,100,4500,220,0,0,0,0,340,0,320,200,2980,0,500,5,129,NA,NA,NA,NA,5,NA,129,123,123,NA,178
653,男,10代以下,0,120,150,1590,370,0,0,0,400,480,0,110,0,360,0,0,6,11,NA,NA,NA,193,6,NA,11,NA,11,NA,NA
654,女,40代,0,360,0,2290,360,0,0,0,0,100,0,500,0,1400,0,0,15,305,NA,NA,NA,NA,84,NA,80,NA,15,NA,NA
655,男,70代以上,0,0,0,640,130,0,0,0,0,130,0,0,0,350,0,0,58,58,NA,NA,NA,NA,58,NA,NA,NA,266,NA,NA
656,女,30代,0,0,0,990,150,0,0,0,0,0,0,0,0,390,0,600,76,77,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,354
657,男,20代,1,200,500,3190,480,0,0,0,600,250,0,350,200,1330,0,300,18,18,NA,NA,NA,49,259,NA,18,18,66,NA,66
658,男,60代,0,0,0,3530,120,3000,0,0,0,0,0,120,0,110,0,300,4,4,67,NA,NA,NA,NA,NA,4,NA,340,NA,340
659,女,60代,0,0,200,700,120,0,0,0,0,100,0,0,120,300,180,0,58,180,NA,NA,NA,NA,58,NA,NA,180,58,164,NA
660,男,60代,0,0,0,1310,110,0,0,0,0,0,0,110,0,200,1000,0,34,236,NA,NA,NA,NA,NA,NA,236,NA,348,34,NA
661,女,20代,1,130,230,5300,710,150,600,0,0,470,480,820,0,2420,0,0,42,42,211,262,NA,NA,59,216,42,NA,59,NA,NA
662,男,30代,0,600,5000,5530,110,0,0,0,0,120,0,2430,200,1530,250,400,23,188,NA,NA,NA,NA,69,NA,91,135,23,188,43
663,男,60代,0,0,0,950,230,0,0,0,600,120,0,230,0,0,0,0,1,1,NA,NA,NA,44,221,NA,1,NA,NA,NA,NA
664,女,70代以上,1,0,0,6280,500,0,120,5000,0,230,120,120,0,550,0,0,50,120,NA,144,196,NA,120,137,214,NA,120,NA,NA
665,女,10代以下,0,160,390,7660,240,3300,0,0,0,130,430,1590,0,1590,0,300,14,14,198,NA,NA,NA,94,227,14,NA,21,NA,21
666,男,30代,0,240,0,4420,480,0,0,0,180,460,390,680,1200,710,0,400,19,19,NA,NA,NA,270,75,100,19,105,29,NA,192
667,女,70代以上,0,0,340,2110,630,0,0,0,200,620,0,370,0,220,0,700,11,11,NA,NA,NA,91,11,NA,11,NA,244,NA,116
668,男,70代以上,0,200,130,3250,130,0,0,0,1700,0,0,410,100,880,0,0,140,140,NA,NA,NA,176,NA,NA,140,286,140,NA,NA
669,男,70代以上,1,1250,240,4535,0,0,655,0,500,460,120,740,0,1840,0,90,78,NA,NA,320,NA,127,82,197,86,NA,78,NA,259
670,男,40代,0,420,0,1570,380,0,0,0,0,380,0,740,0,450,0,0,4,4,NA,NA,NA,NA,4,NA,49,NA,128,NA,NA
671,女,50代,0,960,460,2840,240,0,0,0,400,250,600,710,0,880,0,0,23,32,NA,NA,NA,220,32,97,46,NA,23,NA,NA
672,男,30代,0,1820,260,4750,350,0,0,0,180,1150,0,540,400,1580,0,500,33,202,NA,NA,NA,275,119,NA,105,134,33,NA,316
673,男,30代,0,0,0,3560,370,0,0,0,2400,320,0,240,0,600,0,0,3,3,NA,NA,NA,294,173,NA,48,NA,3,NA,NA
674,男,40代,1,0,2290,5290,210,200,50,0,500,460,300,910,0,2000,0,590,62,101,172,337,NA,360,62,101,74,NA,101,NA,114
675,男,50代,0,1740,0,8610,1400,0,0,0,500,1640,1140,200,0,2710,0,2000,26,46,NA,NA,NA,206,46,164,144,NA,26,NA,119
676,男,60代,1,0,0,2560,210,0,0,0,0,100,240,830,100,1290,0,0,5,14,NA,NA,NA,NA,40,123,5,93,9,NA,NA
677,男,50代,0,0,50,6940,990,200,0,2500,0,200,0,1370,500,1350,360,0,7,54,285,NA,284,NA,277,NA,7,70,22,100,NA
678,女,30代,0,340,120,1760,0,0,0,0,0,120,250,600,120,510,0,0,11,NA,NA,NA,NA,NA,255,49,11,196,57,NA,NA
679,男,20代,0,0,0,3920,120,0,0,0,0,0,300,580,0,540,0,2500,4,4,NA,NA,NA,NA,NA,29,4,NA,100,NA,165
680,男,60代,0,120,0,2650,360,0,0,0,0,960,0,260,360,940,0,0,41,91,NA,NA,NA,NA,304,NA,91,91,41,NA,NA
681,女,10代以下,0,0,0,3710,120,0,0,0,3100,100,0,0,120,390,0,0,3,3,NA,NA,NA,33,73,NA,NA,3,73,NA,NA
682,男,60代,0,750,200,5090,110,0,0,0,0,100,150,230,0,1730,0,950,12,157,NA,NA,NA,NA,174,12,157,NA,114,NA,114
683,男,20代,0,0,0,2890,0,0,0,0,0,0,0,200,0,1930,0,600,37,NA,NA,NA,NA,NA,NA,NA,37,NA,42,NA,124
684,女,60代,0,0,2990,7480,250,0,0,0,500,640,2000,730,0,810,2500,300,24,83,NA,NA,NA,226,59,24,65,NA,59,87,136
685,女,50代,0,1340,600,7010,120,0,0,0,0,210,1400,240,0,2680,180,1600,30,30,NA,NA,NA,NA,84,84,30,NA,41,128,41
686,男,40代,0,180,0,290,0,0,110,0,0,0,0,0,0,180,0,0,313,NA,NA,339,NA,NA,NA,NA,NA,NA,313,NA,NA
687,女,30代,1,390,240,9890,720,2000,0,0,3600,240,370,1200,220,1800,0,300,3,78,207,NA,NA,145,29,145,3,70,70,NA,246
688,男,50代,0,1800,0,2420,0,0,0,0,0,300,2000,120,0,0,0,0,2,NA,NA,NA,NA,NA,248,333,2,NA,NA,NA,NA
689,男,30代,0,0,0,1320,0,0,0,0,0,0,0,0,700,120,0,500,98,NA,NA,NA,NA,NA,NA,NA,NA,98,240,NA,240
690,男,40代,0,0,0,1520,680,0,0,0,0,240,0,110,120,450,0,600,40,40,NA,NA,NA,NA,116,NA,292,40,58,NA,58
691,女,40代,0,0,0,1210,240,0,0,0,0,0,0,440,100,310,200,0,61,281,NA,NA,NA,NA,NA,NA,61,216,61,215,NA
692,女,60代,0,0,0,130,0,0,0,0,0,0,130,0,0,0,0,0,169,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA
693,女,30代,0,1000,0,3780,370,0,0,0,0,220,200,700,100,1730,200,500,24,164,NA,NA,NA,NA,283,201,164,364,24,269,316
694,男,70代以上,1,400,0,7600,750,0,0,0,3600,120,250,1150,0,1320,0,600,14,53,NA,NA,NA,361,103,14,53,NA,125,NA,135
695,男,60代,0,0,0,1230,580,0,0,0,0,210,0,360,420,0,0,0,5,5,NA,NA,NA,NA,205,NA,114,5,NA,NA,NA
696,男,20代,0,0,220,3915,350,0,55,0,0,450,120,540,420,1340,400,300,22,22,NA,69,NA,NA,22,356,180,90,51,267,51
697,女,30代,0,100,0,2510,120,0,0,0,0,440,0,0,220,710,250,90,8,80,NA,NA,NA,NA,280,NA,NA,80,9,8,9
698,男,70代以上,0,400,1720,2380,880,0,0,0,0,220,0,1060,400,180,0,0,41,41,NA,NA,NA,NA,41,NA,167,334,242,NA,NA
699,女,60代,0,360,0,3600,260,0,0,0,0,720,300,110,340,1080,0,600,32,32,NA,NA,NA,NA,81,109,222,32,32,NA,32
700,女,70代以上,0,0,100,9070,730,0,300,0,2700,130,2600,800,120,1670,0,590,8,49,NA,304,NA,356,209,49,8,218,17,NA,209
701,男,20代,0,280,360,5550,1090,1300,0,0,500,570,0,400,0,1340,500,780,9,9,281,NA,NA,103,14,NA,9,NA,42,175,140
702,男,50代,0,130,0,2540,120,2000,0,0,0,0,150,260,0,0,0,0,98,138,98,NA,NA,NA,NA,98,138,NA,NA,NA,NA
703,男,60代,0,0,0,400,0,0,0,0,0,0,0,0,100,300,0,0,74,NA,NA,NA,NA,NA,NA,NA,NA,74,186,NA,NA
704,女,70代以上,0,0,0,1300,120,0,0,0,0,120,0,200,220,460,0,300,33,109,NA,NA,NA,NA,178,NA,132,82,33,NA,150
705,女,70代以上,0,1250,100,5560,730,1000,0,0,0,100,200,1050,0,1750,0,1300,4,4,203,NA,NA,NA,38,203,4,NA,38,NA,66
706,男,50代,0,260,100,2260,100,0,0,0,800,460,0,120,0,880,0,0,3,227,NA,NA,NA,29,3,NA,334,NA,31,NA,NA
707,男,60代,0,0,0,2740,520,0,0,0,0,390,180,130,0,1590,0,0,23,23,NA,NA,NA,NA,23,337,63,NA,30,NA,NA
708,女,70代以上,0,100,0,810,0,0,0,0,0,460,0,0,0,350,0,0,214,NA,NA,NA,NA,NA,214,NA,NA,NA,333,NA,NA
709,男,60代,0,0,0,820,110,0,0,0,0,710,0,110,0,0,0,0,18,18,NA,NA,NA,NA,18,NA,18,NA,NA,NA,NA
710,男,10代以下,1,200,0,1410,0,0,0,0,0,100,250,480,0,420,0,0,6,NA,NA,NA,NA,NA,170,284,62,NA,56,NA,NA
711,男,10代以下,0,0,0,3900,110,0,0,0,1000,0,500,310,0,1300,0,690,8,171,NA,NA,NA,41,NA,234,171,NA,36,NA,8
712,女,30代,0,0,0,2150,240,0,0,0,500,110,0,520,240,650,0,0,1,227,NA,NA,NA,185,139,NA,1,227,1,NA,NA
713,女,50代,0,0,120,280,120,0,0,0,0,0,0,120,0,0,0,0,237,237,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA
714,男,10代以下,0,0,600,1040,1040,0,0,0,0,780,0,260,0,0,0,0,29,29,NA,NA,NA,NA,47,NA,29,NA,NA,NA,NA
715,男,50代,0,480,860,4800,700,0,0,0,0,640,0,220,580,1950,0,1000,17,17,NA,NA,NA,NA,28,NA,17,49,17,NA,259
716,女,70代以上,0,0,130,4130,240,900,0,0,0,0,200,260,120,790,580,270,4,4,20,NA,NA,NA,NA,150,20,4,20,20,179
717,女,70代以上,0,1010,980,3960,100,0,0,0,1300,580,0,140,0,1480,0,0,99,99,NA,NA,NA,315,99,NA,223,NA,99,NA,NA
718,女,10代以下,0,450,110,3640,230,0,300,0,0,720,850,350,0,1290,0,0,36,65,NA,341,NA,NA,260,134,36,NA,36,NA,NA
719,男,20代,1,0,0,330,130,0,0,0,0,230,0,0,0,100,0,0,11,11,NA,NA,NA,NA,11,NA,NA,NA,112,NA,NA
720,女,30代,0,230,0,2440,120,0,0,0,0,360,0,120,200,1000,0,600,53,311,NA,NA,NA,NA,96,NA,311,134,53,NA,237
